id,lat,lon,timestamp,source_url,license,sponsor,country,application_number,brand,generic,route,dosage_form,pharm_class,marketing_status,submission_type
ANDA074771,NaN,NaN,1997-07-09T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074771,openFDA-public,IVAX SUB TEVA PHARMS,??,ANDA074771,CHOLESTYRAMINE,CHOLESTYRAMINE,ORAL,POWDER,,Discontinued,ORIG
ANDA075094,NaN,NaN,2000-01-06T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075094,openFDA-public,CONTRACT PHARMACAL,??,ANDA075094,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA076357,NaN,NaN,2017-08-21T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076357,openFDA-public,PERRIGO,??,ANDA076357,MICONAZOLE 3 COMBINATION PACK,MICONAZOLE NITRATE,"TOPICAL, VAGINAL",CREAM,,Over-the-counter,SUPPL
ANDA080751,47.5596,7.5886,1994-10-26T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=080751,openFDA-public,NOVARTIS,CH,ANDA080751,INFLAMASE MILD,PREDNISOLONE SODIUM PHOSPHATE,OPHTHALMIC,SOLUTION/DROPS,,Discontinued,SUPPL
ANDA083130,42.1814,-87.84,1973-11-12T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083130,openFDA-public,ABBOTT,US,ANDA083130,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,INJECTION,INJECTABLE,,Discontinued,ORIG
ANDA083734,NaN,NaN,2001-07-11T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083734,openFDA-public,ANI PHARMS,??,ANDA083734,PROBENECID AND COLCHICINE,COLCHICINE,ORAL,TABLET,,Discontinued,SUPPL
ANDA076912,NaN,NaN,2012-06-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076912,openFDA-public,TARO,??,ANDA076912,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA077212,19.076,72.8777,2012-04-12T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077212,openFDA-public,SUN PHARM INDS,IN,ANDA077212,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,NASAL,SOLUTION,,Discontinued,ORIG
ANDA076636,NaN,NaN,2015-04-07T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076636,openFDA-public,ACTAVIS ELIZABETH,??,ANDA076636,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA077520,19.076,72.8777,2024-07-24T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077520,openFDA-public,SUN PHARM INDUSTRIES,IN,ANDA077520,LOVASTATIN,LOVASTATIN,ORAL,TABLET,,Discontinued,SUPPL
NDA017669,48.8786,2.298,1981-05-18T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017669,openFDA-public,SANOFI AVENTIS US,FR,NDA017669,TENUATE,DIETHYLPROPION HYDROCHLORIDE,ORAL,"TABLET, EXTENDED RELEASE",,Discontinued,SUPPL
ANDA078406,17.385,78.4867,2022-01-19T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078406,openFDA-public,AUROBINDO PHARMA,IN,ANDA078406,PAROXETINE HYDROCHLORIDE,PAROXETINE HYDROCHLORIDE,ORAL,TABLET,,Prescription,SUPPL
ANDA078704,32.0853,34.7818,2025-06-17T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078704,openFDA-public,TEVA PHARMS,IL,ANDA078704,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE,OPHTHALMIC,SOLUTION/DROPS,,Discontinued,SUPPL
ANDA079010,NaN,NaN,2009-05-26T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079010,openFDA-public,PH HEALTH,??,ANDA079010,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,ORAL,SOLUTION,,Discontinued,ORIG
ANDA089915,NaN,NaN,1998-02-24T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=089915,openFDA-public,PHARMACHEMIE USA,??,ANDA089915,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,INJECTION,INJECTABLE,,Discontinued,SUPPL
